"Name","Length"
"app-running-test.png","62681"
"artifact-panel-full-view.png","135996"
"artifact-panel-open.png","112521"
"artifact-panel-visible.png","112462"
"betinha.jpeg","149207"
"chuba rosto.png","6960787"
"chubaka com fome.png","7368584"
"dashboard-final.png","372253"
"files-view-loaded.png","106419"
"kitty.jpg","31953"
"light-theme-current.png","76944"
"light-theme-fixed.png","76978"
"light-theme-refresh.png","76901"
"modal-create-file.png","106303"
"pimpim.png","1752524"
"runtime-conversations-check.png","571833"
"runtime-demo-command-dark-check.png","177803"
"runtime-demo-features-check.png","197538"
"runtime-demo-layout-check.png","132683"
"runtime-demo-layout-dark-check.png","120080"
"runtime-home-polish-check.png","160404"
"runtime-login-check.png","589859"
"runtime-login-fixed-check.png","362415"
"runtime-login-prod-check.png","589859"
"runtime-polish-check.png","571833"
"web-search-response.png","110492"
"WhatsApp Image 2026-04-03 at 21.03.32.jpeg","61588"
